Title,sku,regular price,stock,img%20url,on ebay,group,Person Name,C:Team,C:League
Alison Rey autographed Adult Model RP 8X10 signed Photo RP0081,AlisonR03202020rpRY0081,9.99,1,https://american-autographs.com/toimages//alison%20rey%20avn20%20_01-27-2020_0081.jpg|,,823,Alison Rey,rpr,
Jade Luv autographed Adult Model RP 8X10 signed Photo RP0765,JadeL08102020rppCY0765,9.99,1,https://american-autographs.com/toimages//Jade%20Luv%2008042020%20(46)_0765.jpg|,23,1013,Jade Luv,rpr,
Jada Fire autographed Model RP 8X10 Photo (A0036),JadaF09262019rY0036,9.99,1,https://american-autographs.com/toimages//Jada%20Fire%2012%20%200036.jpg|,,1440,Jada Fire,rpr,
Zoe Bloom autographed Adult Model RP 8X10 signed Photo RP1398,ZoeB03202020rpRY1398,9.99,1,https://american-autographs.com/toimages//zoe%20bloom%20avn20%20_01-27-2020_1398.jpg|,,1412,Zoe Bloom,rpr,
Candy Manson autographed Adult Model RP 8X10 signed Photo RP1117,CandyM04022020RrpY1117,9.99,1,https://american-autographs.com/toimages//Candy%20Manson%2002272020%20(48)_1117.jpg|,,1631,Candy Manson,rpr,
Giselle Palmer autographed Model RP 8x10 Photo RP0687,GisellePprpR2019Y0687,9.99,1,https://american-autographs.com/toimages//Giselle%20Palmer%201_1_0687.jpg|,23,991,Giselle Palmer,rpr,
Lupe Fuentes autographed Model RP 8X10 Photo (A0140),LupeF09262019rY0140,9.99,1,https://american-autographs.com/toimages//Lupe%20Fuentes%20(257)%200140.jpg|,,1443,Lupe Fuentes,rpr,
Aspen Brooks autographed Model RP 8x10 Photo RP0217,AspenB2019RpAVNrY0217,9.99,1,https://american-autographs.com/toimages//aspen%20brooks%20_9-29-2017_0005_0217.jpg|,,865,Aspen Brooks,RPRTS,
Vicki Chase autographed Model RP 8x10 Photo RP0053,VickiC112022RY0053,39.99,1,https://american-autographs.com/toimages//Vicki%20Chase%20signed%208x10%20_0053.jpg|,,1400,Vicki Chase,rpr,
Lacey Duvalle autographed Model RP 8x10 Photo RP1535,LaceyD2019RpAVNrY1535,9.99,1,https://american-autographs.com/toimages//Lacey%20Duvalle%20_9-29-2017_0336_1535.jpg|,,1137,Lacey Duvalle,rpr,
Riley Evans autographed Model RP 8X10 Photo RP9884,RilRppRG62209884,9.99,1,https://american-autographs.com/toimages//RILEY%20EVANS%209884.jpg|,,1675,Riley Evans,rpr,
Summer Brielle autographed Model RP 8X10 Photo RP0545,SumRppRG68500545,9.99,1,https://american-autographs.com/toimages//summer%20brielle%2010545.jpg|,,1357,Summer Brielle,rpr,
Chessie Kay autographed Model RP 8x10 Photo RP0540,ChessieKprpR2019Y0540,9.99,1,https://american-autographs.com/toimages//Chessie%20Kay%202_0540.jpg|,23,919,Chessie Kay,rpr,
Isabella Nice autographed Model RP 8x10 Photo RP0942,IsabvellaN2019RpAVNrY0942,9.99,1,https://american-autographs.com/toimages//isabvella%20nice%20_9-29-2017_0014_0942.jpg|,,1006,Isabella Nice,rpr,
Jynx Maze autographed Model RP 8x10 Photo RP1205,JynxM08142021CLY1205,9.99,1,https://american-autographs.com/toimages//Jynx%20Maze%20_1205.jpg|,23,3117,Jynx Maze,rpr,
Diamond Foxxx autographed Model RP 8x10 Photo RP0681,DiamondF2019RpAVNrY0681,9.99,1,https://american-autographs.com/toimages//diamond%20foxxx_9-29-2017_0059_0681.jpg|,23,951,Diamond Foxxx,rpr,
Cj Miles autographed Model RP 8X10 Photo RP6529,Cj RppRG30336529,9.99,1,https://american-autographs.com/toimages//Cj%20Miles%20June%206529.jpg|,23,929,Cj Miles,rpr,
Amia Miley autographed Model RP 8x10 Photo RP0162,AmiaMprpR2019Y0162,9.99,1,https://american-autographs.com/toimages//Amia%20Miley%208_0162.jpg|,,835,Amia Miley,rpr,
Ellie Eilish autographed Adult Model RP 8X10 signed Photo RP0488,EllieE03202020rpRY0488,9.99,1,https://american-autographs.com/toimages//ellie%20eilish%20avn20%20_01-27-2020_0488.jpg|,23,1479,Ellie Eilish,rpr,
Kendra Sunderland autographed Model RP 8X10 Photo RP8141,KenRppRG45908141,9.99,1,https://american-autographs.com/toimages//Kendra%20Sunderland%208141.jpg|,,1112,Kendra Sunderland,rpr,
Nia Nacci autographed Model RP 8x10 Photo RP1919,NiaN2019RpAVNrY1919,9.99,1,https://american-autographs.com/toimages//nia%20nacci%20_9-29-2017_0030_1919.jpg|,,1239,Nia Nacci,rpr,
Marley Brinx autographed Model RP 8x10 Photo RP1749,MarleyB08142021CLY1749,9.99,1,https://american-autographs.com/toimages//Marley%20Brinx%20reg%20_1749.jpg|,,1187,Marley Brinx,rpr,
Sierra Cure autographed Adult Model RP 8X10 signed Photo RP1698),1032020R248,9.99,1,https://american-autographs.com/toimages//Sierra%20Cure%2009012020%20(9)%20_1698.jpg|,23,9970,Sierra Cure,rpr,
Alex Harper autographed Adult Model RP 8X10 signed Photo RP0037,AlexH03202020rpRY0037,9.99,1,https://american-autographs.com/toimages//alex%20harper%20avn20%20_01-27-2020_0037.jpg|,,808,Alex Harper,rpr,
Karmen Rx autographed Model RP 8x10 Photo RP1273,KarmenR08142021CLY1273,9.99,1,https://american-autographs.com/toimages//Karmen%20RX%20_1273.jpg|,,1084,Karmen Rx,rpr,
